项目名称,类型,状态,Owner,优先级,预估工时,影响范围,相关文件/路径,关联Issue/PR,风险等级,创建日期,备注
"[Workspace] 完成工作区系统 (133 个工作项)",GitHub Issue,Open,7Spade,HIGH,25-40周,全系统,"86页面+47基础设施+五层架构",#124,CRITICAL,2025-11-21,"包含86页面、47额外工作项、五层架构增强"
"设置 Copilot instructions",GitHub Issue,Open,7Spade,MEDIUM,2-4小时,开发流程,.github/copilot/,#121,LOW,2025-11-21,配置GitHub Copilot指令
"创建未完成项目清单 (本PR)",GitHub PR,Draft,Copilot,HIGH,1-2天,项目管理,多个文档文件,#144,LOW,2025-11-22,本次任务的PR
"Issues模块 - 加载问题数据",TODO,Open,未分配,HIGH,4小时,问题管理,src/app/routes/issues/form/issue-form.component.ts,N/A,MEDIUM,N/A,表单数据加载实现
"Issues模块 - 实现保存逻辑",TODO,Open,未分配,HIGH,4小时,问题管理,src/app/routes/issues/form/issue-form.component.ts,N/A,MEDIUM,N/A,问题保存功能
"Issues模块 - 加载蓝图列表",TODO,Open,未分配,MEDIUM,2小时,问题管理,src/app/routes/issues/form/issue-form.component.ts,N/A,MEDIUM,N/A,下拉选择蓝图
"Issues模块 - 加载任务列表",TODO,Open,未分配,MEDIUM,2小时,问题管理,src/app/routes/issues/form/issue-form.component.ts,N/A,MEDIUM,N/A,下拉选择任务
"Issues模块 - 实现编辑功能",TODO,Open,未分配,HIGH,3小时,问题管理,src/app/routes/issues/detail/issue-detail.component.ts,N/A,MEDIUM,N/A,问题详情编辑
"Issues模块 - 加载问题列表",TODO,Open,未分配,HIGH,4小时,问题管理,src/app/routes/issues/list/issue-list.component.ts,N/A,HIGH,N/A,问题列表加载
"Issues模块 - 实现删除逻辑",TODO,Open,未分配,MEDIUM,2小时,问题管理,src/app/routes/issues/list/issue-list.component.ts,N/A,MEDIUM,N/A,删除问题功能
"Issues模块 - 加载问题分配数据",TODO,Open,未分配,HIGH,3小时,问题管理,src/app/routes/issues/assignments/issue-assignments.component.ts,N/A,MEDIUM,N/A,分配数据加载
"Issues模块 - 实现重新分配逻辑",TODO,Open,未分配,HIGH,4小时,问题管理,src/app/routes/issues/assignments/issue-assignments.component.ts,N/A,MEDIUM,N/A,重新分配功能
"Documents模块 - 加载图纸数据",TODO,Open,未分配,MEDIUM,3小时,文档管理,src/app/routes/documents/drawings/drawing-viewer.component.ts,N/A,LOW,N/A,图纸查看器
"Documents模块 - 实现添加批注逻辑",TODO,Open,未分配,MEDIUM,4小时,文档管理,src/app/routes/documents/drawings/drawing-viewer.component.ts,N/A,MEDIUM,N/A,图纸批注功能
"Documents模块 - 初始化表单数据",TODO,Open,未分配,HIGH,2小时,文档管理,src/app/routes/documents/upload/document-upload.component.ts,N/A,MEDIUM,N/A,上传表单初始化
"Documents模块 - 实现文件验证逻辑",TODO,Open,未分配,HIGH,3小时,文档管理,src/app/routes/documents/upload/document-upload.component.ts,N/A,HIGH,N/A,文件类型/大小验证
"Documents模块 - 实现上传逻辑",TODO,Open,未分配,HIGH,6小时,文档管理,src/app/routes/documents/upload/document-upload.component.ts,N/A,HIGH,N/A,文件上传至Supabase
"Documents模块 - 加载蓝图列表",TODO,Open,未分配,MEDIUM,2小时,文档管理,src/app/routes/documents/upload/document-upload.component.ts,N/A,MEDIUM,N/A,下拉选择蓝图
"Documents模块 - 加载文档数据",TODO,Open,未分配,HIGH,3小时,文档管理,src/app/routes/documents/preview/document-preview.component.ts,N/A,MEDIUM,N/A,文档预览加载
"Documents模块 - 实现下载逻辑",TODO,Open,未分配,MEDIUM,2小时,文档管理,src/app/routes/documents/preview/document-preview.component.ts,N/A,LOW,N/A,文档下载功能
"Documents模块 - 加载当前文件夹内容",TODO,Open,未分配,HIGH,4小时,文档管理,src/app/routes/documents/browser/document-browser.component.ts,N/A,MEDIUM,N/A,文件浏览器
"Documents模块 - 实现文件夹导航逻辑",TODO,Open,未分配,MEDIUM,3小时,文档管理,src/app/routes/documents/browser/document-browser.component.ts,N/A,MEDIUM,N/A,文件夹导航
"Documents模块 - 实现创建文件夹逻辑",TODO,Open,未分配,MEDIUM,2小时,文档管理,src/app/routes/documents/browser/document-browser.component.ts,N/A,LOW,N/A,创建文件夹
"Documents模块 - 实现查看详情逻辑",TODO,Open,未分配,LOW,2小时,文档管理,src/app/routes/documents/browser/document-browser.component.ts,N/A,LOW,N/A,文件详情
"Documents模块 - 实现删除逻辑",TODO,Open,未分配,MEDIUM,2小时,文档管理,src/app/routes/documents/browser/document-browser.component.ts,N/A,MEDIUM,N/A,删除文件/文件夹
"Documents模块 - 加载版本列表",TODO,Open,未分配,HIGH,3小时,文档管理,src/app/routes/documents/versions/document-version.component.ts,N/A,MEDIUM,N/A,版本历史列表
"Documents模块 - 实现上传新版本逻辑",TODO,Open,未分配,MEDIUM,4小时,文档管理,src/app/routes/documents/versions/document-version.component.ts,N/A,MEDIUM,N/A,上传新版本
"Documents模块 - 实现查看版本逻辑",TODO,Open,未分配,MEDIUM,2小时,文档管理,src/app/routes/documents/versions/document-version.component.ts,N/A,LOW,N/A,查看历史版本
